Metabolite Abbreviation,Metabolite Name,Charge,Compartment,Boundary
M_13dpg_c,3-Phospho-D-glyceroyl-phosphate,0,C_c,false
M_2pg_c,D-Glycerate-2-phosphate,0,C_c,false
M_3pg_c,3-Phospho-D-glycerate,0,C_c,false
M_6pgc_c,6-Phospho-D-gluconate,0,C_c,false
M_6pgl_c,6-phospho-D-glucono-1-5-lactone,0,C_c,false
M_ac_c,Acetate,0,C_c,false
M_ac_e,Acetate,0,C_e,false
M_acald_c,Acetaldehyde,0,C_c,false
M_acald_e,Acetaldehyde,0,C_e,false
M_accoa_c,Acetyl-CoA,0,C_c,false
M_acon_C_c,cis-Aconitate,0,C_c,false
M_actp_c,Acetyl-phosphate,0,C_c,false
M_adp_c,ADP,0,C_c,false
M_akg_c,2-Oxoglutarate,0,C_c,false
M_akg_e,2-Oxoglutarate,0,C_e,false
M_amp_c,AMP,0,C_c,false
M_atp_c,ATP,0,C_c,false
M_cit_c,Citrate,0,C_c,false
M_co2_c,CO2,0,C_c,false
M_co2_e,CO2,0,C_e,false
M_coa_c,Coenzyme-A,0,C_c,false
M_dhap_c,Dihydroxyacetone-phosphate,0,C_c,false
M_e4p_c,D-Erythrose-4-phosphate,0,C_c,false
M_etoh_c,Ethanol,0,C_c,false
M_etoh_e,Ethanol,0,C_e,false
M_f6p_c,D-Fructose-6-phosphate,0,C_c,false
M_fdp_c,D-Fructose-1-6-bisphosphate,0,C_c,false
M_for_c,Formate,0,C_c,false
M_for_e,Formate,0,C_e,false
M_fru_e,D-Fructose,0,C_e,false
M_fum_c,Fumarate,0,C_c,false
M_fum_e,Fumarate,0,C_e,false
M_g3p_c,Glyceraldehyde-3-phosphate,0,C_c,false
M_g6p_c,D-Glucose-6-phosphate,0,C_c,false
M_glc_D_e,D-Glucose,0,C_e,false
M_gln_L_c,L-Glutamine,0,C_c,false
M_gln_L_e,L-Glutamine,0,C_e,false
M_glu_L_c,L-Glutamate,0,C_c,false
M_glu_L_e,L-Glutamate,0,C_e,false
M_glx_c,Glyoxylate,0,C_c,false
M_h2o_c,H2O,0,C_c,false
M_h2o_e,H2O,0,C_e,false
M_h_c,H,0,C_c,false
M_h_e,H,0,C_e,false
M_icit_c,Isocitrate,0,C_c,false
M_lac_D_c,D-Lactate,0,C_c,false
M_lac_D_e,D-Lactate,0,C_e,false
M_mal_L_c,L-Malate,0,C_c,false
M_mal_L_e,L-Malate,0,C_e,false
M_nad_c,Nicotinamide-adenine-dinucleotide,0,C_c,false
M_nadh_c,Nicotinamide-adenine-dinucleotide-reduced,0,C_c,false
M_nadp_c,Nicotinamide-adenine-dinucleotide-phosphate,0,C_c,false
M_nadph_c,Nicotinamide-adenine-dinucleotide-phosphate-reduced,0,C_c,false
M_nh4_c,Ammonium,0,C_c,false
M_nh4_e,Ammonium,0,C_e,false
M_o2_c,O2,0,C_c,false
M_o2_e,O2,0,C_e,false
M_oaa_c,Oxaloacetate,0,C_c,false
M_pep_c,Phosphoenolpyruvate,0,C_c,false
M_pi_c,Phosphate,0,C_c,false
M_pi_e,Phosphate,0,C_e,false
M_pyr_c,Pyruvate,0,C_c,false
M_pyr_e,Pyruvate,0,C_e,false
M_q8_c,Ubiquinone-8,0,C_c,false
M_q8h2_c,Ubiquinol-8,0,C_c,false
M_r5p_c,alpha-D-Ribose-5-phosphate,0,C_c,false
M_ru5p_D_c,D-Ribulose-5-phosphate,0,C_c,false
M_s7p_c,Sedoheptulose-7-phosphate,0,C_c,false
M_succ_c,Succinate,0,C_c,false
M_succ_e,Succinate,0,C_e,false
M_succoa_c,Succinyl-CoA,0,C_c,false
M_xu5p_D_c,D-Xylulose-5-phosphate,0,C_c,false
M_ac_b,ac_b,0,C_e,false
M_acald_b,acald_b,0,C_e,false
M_akg_b,akg_b,0,C_e,false
M_co2_b,co2_b,0,C_e,false
M_etoh_b,etoh_b,0,C_e,false
M_for_b,for_b,0,C_e,false
M_fru_b,fru_b,0,C_e,false
M_fum_b,fum_b,0,C_e,false
M_glc_D_b,glc_D_b,0,C_e,false
M_gln_L_b,gln_L_b,0,C_e,false
M_glu_L_b,glu_L_b,0,C_e,false
M_h2o_b,h2o_b,0,C_e,false
M_h_b,h_b,0,C_e,false
M_lac_D_b,lac_D_b,0,C_e,false
M_mal_L_b,mal_L_b,0,C_e,false
M_nh4_b,nh4_b,0,C_e,false
M_o2_b,o2_b,0,C_e,false
M_pi_b,pi_b,0,C_e,false
M_pyr_b,pyr_b,0,C_e,false
M_succ_b,succ_b,0,C_e,false
