KEGG ID,Additional KEGG IDs,Name,Additional Names
C00002,C00044|C00131|C00081|C00063|C00075|C00286|C01345|C00460|C00458|C00459|C00002,ATP,GTP|dATP|ITP|CTP|UTP|dGTP|dITP|dUTP|dCTP|dTTP
C00003,C00006|C00003,NAD,NADP
C00004,C00005|C00004,NADH,NADPH
C00008,C00035|C00206|C00104|C00112|C00015|C00361|C01344|C01346|C00705|C00363|C00008,ADP,GDP|dADP|IDP|CDP|UDP|dGDP|dIDP|dUDP|dCDP|dTDP
C00020,C00144|C00360|C00130|C00055|C00105|C00362|C06196|C00365|C00239|C00364|C00020,AMP,GMP|dAMP|IMP|CMP|UMP|dGMP|dIMP|dUMP|dCMP|dTMP
C00044,C00081|C00044,GTP,ITP
C00035,C00104|C00035,GDP,IDP
C00144,C00130|C00144,GMP,IMP
C00081,C00044|C00131|C00063|C00075|C00286|C01345|C00460|C00458|C00459|C00002,ITP,
C00104,C00035|C00206|C00112|C00015|C00361|C01344|C01346|C00705|C00363|C00008,IDP,
C00130,C00144|C00360|C00055|C00105|C00362|C06196|C00365|C00239|C00364|C00020,IMP,
